query,n_rel,pg_e2e_ms,hq_e2e_ms,alpha_e2e_ms,mcts_e2e_ms,bao_e2e_ms,neo_e2e_ms,skinner_e2e_ms
10a,7,492.867,492.9755250377655,22414.112,859.658,1479.357,1500.705,443.0
10b,7,245.341,245.59232036209107,20662.071000000004,1140.806,589.945,667.36,292.0
10c,7,33340.75,33340.997832775116,25538.808,4754.018,7103.655,7167.857,445.0
11a,8,3219.3419999999996,3219.7277631683346,7674.177,269.82,123.241,79.809,179.0
11b,8,21.437,21.811185562133787,7560.751,255.915,57.762,32.344,213.0
11c,8,5178.971,5179.279465242385,15783.838,612.404,214.423,199.258,318.0
11d,8,147.938,148.25518444824218,15731.382,586.284,191.339,178.584,434.0
12a,8,1024.268,1024.702247970581,8802.433,1741.534,658.398,554.746,132.0
12b,8,62.622,62.990905782699585,4017.84,172.302,22.883,0.923,874.0
12c,8,720.342,720.7769966049194,12519.966,1341.647,1986.739,2048.02,279.0
13a,9,1001.572,1001.897752735138,13467.277,7791.813,3519.665,3717.66,140.0
13b,9,459.273,459.6472406368256,7145.374,,1378.412,1335.222,114.0
13c,9,446.253,446.6413383274078,7258.483,480.278,1287.304,1285.855,125.0
13d,9,1477.942,1478.2402478141785,16243.564,4196.532,5585.806,6356.416,656.0
14a,8,1978.219,1978.5934134902957,21462.621000000003,1135.238,486.599,385.293,191.0
14b,8,138.55599999999998,138.92322636222838,12961.175000000001,451.505,171.015,152.973,185.0
14c,8,491.334,645.1113983345032,29182.832,4457.397,746.874,672.666,299.0
15a,9,225.554,225.97871194267273,19770.5,820.442,821.21,737.464,261.0
15b,9,33.614,34.06744567298889,49018.659,195.372,85.448,38.276,223.0
15c,9,801.524,801.9155243148804,51877.409,1270.482,2014.902,1977.286,328.0
15d,9,1380.061,1380.4147251949312,130987.031,1524.169,2287.143,2184.419,488.0
16a,8,1019.031,1019.3406785545347,205470.274,721.33,270.033,230.76,324.0
16b,8,33936.831000000006,33936.954761892324,471946.77400000003,38382.749,25415.909,25854.793,2037.0
16c,8,1276.803,1410.578542711258,40526.909,20129.716,2185.067,2196.16,292.0
16d,8,1038.179,1038.5296112098692,256013.912,129617.195,1751.607,1761.476,182.0
17a,7,11130.151,11130.363546348572,220171.325,41172.037,17073.362,16967.396,1341.0
17b,7,14936.741,14936.863304439545,573800.8520000001,28510.24,12799.221,12578.506,265.0
17c,7,9916.913,11705.433254808426,190297.587,27677.925,12283.631,12214.66,98.0
17d,7,9785.438,9785.557617938995,37004.952000000005,86995.573,12420.671,12371.919,136.0
17e,7,11013.269,12851.062736112592,63988.069,138778.443,17663.968,17968.155,1227.0
17f,7,11468.85,11468.970682716368,198169.452,99464.36,16021.577,16177.744,769.0
18a,7,9847.608,9847.878337581637,85563.183,35213.644,12976.058,13488.231,269.0
18b,7,152.772,153.07542721939086,13889.068,435.13,394.725,370.672,307.0
18c,7,9768.748,9769.06731591034,86935.55,34141.034,17053.534,17121.648,677.0
19a,10,563.316,563.763681427002,39014.768,611.409,786.152,768.371,371.0
19b,10,106.57,107.0174070072174,41112.227,334.32,385.161,323.624,274.0
19c,10,1179.167,1179.616281692505,126465.496,8366.693,2779.14,2671.53,557.0
19d,10,4771.943,4772.397615354538,54266.91499999999,12757.842,16646.832,17568.113,1608.0
1a,5,65.914,66.0992970123291,5013.564,10.881,20.176,8.991,735.0
1b,5,59.85,60.10965714454651,1291.7939999999999,108.241,9.279,0.252,245.0
1c,5,65.065,65.31053942680359,3592.014,116.506,13.808,4.106,723.0
1d,5,58.415,58.67534665107727,3789.061,109.947,8.847,0.203,854.0
20a,10,4791.142,4791.457598964691,393557.57300000003,19116.492,5903.103,4989.034,1265.0
20b,10,2735.664,2735.983797039032,206648.12,2247.307,3590.954,3510.337,415.0
20c,10,1574.703,1575.0213596134186,220775.81,28398.276,2006.624,1897.158,717.0
21a,9,76.68599999999999,77.16434396362304,16372.514,549.659,146.799,105.627,208.0
21b,9,42.969,69.29216687583923,21303.867,565.966,114.184,71.29,159.0
21c,9,48.398,48.88583278465271,6010.292,509.652,119.943,77.041,645.0
22a,11,435.331,435.88667789077755,31495.578999999998,16213.414,720.885,585.386,211.0
22b,11,339.259,339.8753547039032,27227.842,1246.94,480.77,376.784,171.0
22c,11,1322.47,1322.9934673023224,35582.746,141678.253,2863.78,2755.251,260.0
22d,11,734.849,899.7972775707244,42461.093,3415.539,1123.67,1031.738,220.0
23a,11,204.041,204.4806469593048,37548.19,2246.608,391.026,306.955,306.0
23b,11,83.061,83.54955376243592,24266.031,1018.259,162.215,64.814,241.0
23c,11,255.032,255.47494834136964,31357.614999999998,1962.545,447.784,351.286,303.0
24a,12,432.452,433.0007723350525,39515.992,6552.301,893.925,651.125,246.0
24b,12,68.785,76.20494186401368,12238.564999999999,544.066,263.34,38.31,251.0
25a,9,2872.515,2872.9684463882445,142380.28699999998,14986.173,4184.544,4089.186,364.0
25b,9,294.01000000000005,294.4336428737641,12385.3,2020.768,507.506,473.588,305.0
25c,9,10497.14,12415.86990646553,211727.438,18023.301,13953.968,13870.443,566.0
26a,12,715.381,715.8876652297973,94093.17300000001,2150.126,34743.326,36507.53,404.0
26b,12,142.136,142.62432392692563,22277.533000000003,6900.444,361.688,140.623,284.0
26c,12,1806.661,1807.0178003177643,230604.23,612910.821,6947.824,6760.767,398.0
27a,12,95.077,95.68033585739136,13981.190999999999,1355.361,260.127,30.92,193.0
27b,12,50.211,50.8387437210083,11821.641,644.74,233.445,11.598,161.0
27c,12,212.932,213.5354049987793,13157.64,5728.088,293.992,71.161,334.0
28a,14,605.5450000000001,606.2365128231049,33174.413,4826.736,1419.937,1133.525,277.0
28b,14,1777.474,1778.1451418628692,35196.007,7363.87,1204.731,925.609,244.0
28c,14,741.112,741.7551467533111,35881.258,420963.143,949.409,678.038,720.0
29a,17,88.25,138.06144513702392,28831.428,2672.674,371.139,27.713,425.0
29b,17,109.462,110.19867836189268,30739.447999999997,503892.274,352.865,15.732,290.0
29c,17,238.021,238.73266110038756,33726.352,1193447.891,1673.521,1326.35,371.0
2a,5,454.102,454.2770197410584,6856.201,2300.717,735.295,719.03,276.0
2b,5,433.2,433.3537420749664,10725.962,2294.973,698.991,699.338,79.0
2c,5,410.217,454.3039654808045,5444.032,2299.194,661.678,664.536,6.0
2d,5,530.77,530.9040119838714,14940.699999999999,2300.56,880.068,898.867,111.0
30a,12,3916.346,3916.822774454117,46802.486999999994,5205.914,1471.517,1245.229,329.0
30b,12,390.895,391.3803904247284,18697.519,17811.507,835.546,616.022,326.0
30c,12,4687.295,4687.779914541245,11217.704,19753.721,7193.77,6611.793,399.0
31a,11,7699.692,7700.254406301498,189815.472,869.907,10455.895,10224.109,296.0
31b,11,399.487,400.0366804714203,16550.176,15891.222,748.99,623.411,356.0
31c,11,11551.882,11552.493105442049,209814.261,21730.972,15636.337,15617.656,204.0
32a,6,10.492,10.567283527374268,1088.9299999999998,43.82,26.67,13.284,3.0
32b,6,128.273,114.16631212615968,13050.333,412.24,164.925,159.26,19.0
33a,14,80.636,81.16589864349365,17750.338,1230.546,335.138,58.719,73.0
33b,14,79.859,80.35156896972656,16161.917000000001,854.741,332.331,65.333,79.0
33c,14,92.713,93.18918651390076,18061.837,840.632,419.614,147.335,402.0
3a,4,153.879,123.16895678901672,16013.241,439.376,185.299,170.061,259.0
3b,4,89.355,89.55846188545227,15396.666,269.583,121.97,102.775,277.0
3c,4,181.753,181.93175814437868,16392.446,669.419,310.866,302.746,590.0
4a,5,103.301,103.54957473373412,5637.822999999999,344.909,146.64,135.139,440.0
4b,5,55.843,56.08093244361877,5504.943,161.047,89.049,74.15,188.0
4c,5,104.181,104.44624639129638,5820.305,342.055,128.734,113.063,530.0
5a,5,91.268,91.5258673362732,1873.8580000000002,232.767,262.214,246.908,558.0
5b,5,92.101,92.33346502876284,2051.101,228.541,232.039,215.694,183.0
5c,5,119.033,94.69497168922425,14455.139000000001,286.443,264.565,247.795,429.0
6a,5,22.694,22.872338050842284,177246.62099999998,87.247,41.649,29.721,2108.0
6b,5,243.853,244.0340884475708,319779.96300000005,716.623,304.383,294.837,96.0
6c,5,7.335,7.523504934310913,181533.969,38.001,22.499,12.617,88.0
6d,5,9352.039,9352.217670406342,173002.741,41016.35,9401.04,9458.101,459.0
6e,5,15.522,15.7140063495636,173846.86800000002,66.045,34.973,21.229,288.0
6f,5,8206.944000000001,8207.151182168962,569819.944,21314.036,9982.504,10126.283,1107.0
7a,8,6094.046,6094.417730566025,39879.672,1528.37,1380.455,1304.733,245.0
7b,8,252.185,252.57128578186035,79632.542,326.793,337.121,322.059,151.0
7c,8,23494.411,2357.9474797115327,37546.282999999996,39992.649,4740.701,4904.69,486.0
8a,7,2773.5440000000003,2773.78741583252,61557.586,3177.519,4558.721,4360.641,231.0
8b,7,123.561,123.81130016899108,23948.423000000003,311.073,479.402,444.323,198.0
8c,7,2962.134,2962.2648178901673,12004.028,11665.864,8135.536,8970.557,3600.0
8d,7,1471.885,1472.0114810562134,10722.822,2399.367,3264.04,3714.603,384.0
9a,8,212.622,212.9320490570068,28598.545000000002,513.384,755.239,763.324,583.0
9b,8,198.464,198.7646534576416,31741.895,515.583,717.141,691.373,481.0
9c,8,1320.583,326.58972777748113,30648.581000000002,6723.455,3923.852,3046.544,263.0
9d,8,2027.843,2028.118711297989,35522.831,10335.289,5272.606,5428.669,973.0
